,야장타입: 매장,,,,,
,분위기: 소소한,,,,,
,주류종류: 소주,,,,,
,한줄리뷰: 노량진수산시장 옆 야외 조개구이와 소주,,,,,
,주소: 서울 동작구 노들로 688,,,,,
,위도: 37.5146243889501,,,,,
,경도: 126.940614105889,,,,,
,네이버지도URL: https://m.place.naver.com/place/1240153266/home,,,,,
,POINT (126.919365 37.548276),,,,,
,야장타입: 노포,,,,,
,분위기: 왁자지껄,,,,,
,주류종류: 소주,,,,,
,한줄리뷰: 합정과 상수 사이 야외에서 즐기는 고기,,,,,
,주소: 서울 마포구 양화로6길 94,,,,,
,위도: 37.5482758976106,,,,,
,경도: 126.919364924854,,,,,
,네이버지도URL: https://m.place.naver.com/place/365735446/home,,,,,
,POINT (127.083969 37.595569),,,,,
,야장타입: 루프탑,,,,,
,분위기: 소소한,,,,,
,주류종류: 정보없음,,,,,
,한줄리뷰: 테라스 야외,,,,,
,주소: 서울 중랑구 면목로95길 26,,,,,
,위도: 37.5955685969817,,,,,
,경도: 127.083968735017,,,,,
,네이버지도URL: https://m.map.naver.com/search?query=%EC%84%9C%EC%9A%B8%20%EC%8B%9C%EC%A6%8C%EB%AA%A8%EB%A8%BC%ED%8A%B8%20%EC%83%81%EB%B4%89%EC%97%AD,,,,,
,POINT (126.898652 37.558027),,,,,
,야장타입: 매장,,,,,
,분위기: 데이트,,,,,
,주류종류: 와인,,,,,
,한줄리뷰: 망원한강공원 야외테이블 피자,,,,,
,주소: 서울 마포구 방울내로 24,,,,,
,위도: 37.5580267507819,,,,,
,경도: 126.898652040922,,,,,
,네이버지도URL: https://m.place.naver.com/place/1115420048/home,,,,,
,POINT (126.991696 37.56695),,,,,
,야장타입: 매장,,,,,
,분위기: 데이트,,,,,
,주류종류: 소주,,,,,
,한줄리뷰: 충무로길 골목 야외,,,,,
,주소: 서울 중구 충무로9길 14,,,,,
,위도: 37.5669501781499,,,,,
,경도: 126.991696325885,,,,,
,네이버지도URL: https://m.map.naver.com/search?query=%EC%84%9C%EC%9A%B8%20%EB%AA%85%EB%8F%99%EA%B3%A8%EB%B1%85%EC%9D%B4%20%EC%9D%84%EC%A7%80%EB%A1%9C%EC%A0%90,,,,,
,POINT (127.005675 37.532806),,,,,
,야장타입: 루프탑,,,,,
,분위기: 데이트,,,,,
,주류종류: 와인,,,,,
,한줄리뷰: 한남동 루프탑 테라스,,,,,
,주소: 서울 용산구 대사관로30길 9,,,,,
,위도: 37.5328060947536,,,,,
,경도: 127.005675059155,,,,,
,네이버지도URL: https://m.place.naver.com/place/1989635694/home,,,,,
,POINT (126.978235 37.562482),,,,,
,야장타입: 노포,,,,,
,분위기: 데이트,,,,,
,주류종류: 와인,,,,,
,한줄리뷰: 낮은 조명의 차분한 와인/칵테일 바,,,,,
,주소: 서울 중구 세종대로14길 28-6,,,,,
,위도: 37.5624822256462,,,,,
,경도: 126.978234717011,,,,,
,네이버지도URL: https://maps.app.goo.gl/BHssndZVqK56h5DYA,,,,,
,POINT (126.989572 37.572389),,,,,
,야장타입: 매장,,,,,
,분위기: 왁자지껄,,,,,
,주류종류: 소주,,,,,
,한줄리뷰: 종로3가 포장마차 거리의 활기찬 분위기에서 소주와 안주 즐기기,,,,,
,주소: 서울 종로구 돈화문로11길 33,,,,,
,위도: 37.572389319259734,,,,,
,경도: 126.98957210896731,,,,,
,네이버지도URL: https://m.place.naver.com/place/1516328464/home,,,,,
,POINT (126.982175 37.58321),,,,,
,야장타입: 루프탑,,,,,
,분위기: 데이트,,,,,
,주류종류: 정보없음,,,,,
,한줄리뷰: 북촌 야외 테라스 루프탑,,,,,
,주소: 서울 종로구 삼청로 86-5,,,,,
,위도: 37.583210275679,,,,,
,경도: 126.982175371656,,,,,
,네이버지도URL: https://m.place.naver.com/place/19589189/home,,,,,
,POINT (126.991421 37.563744),,,,,
,야장타입: 루프탑,,,,,
,분위기: 데이트,,,,,
,주류종류: 소주,,,,,
